major_id,sequence_number,name,description,is_active,notes,effective_term_id,end_term_id,required_course_id
3,30,THM-323 - Hospitality Sales and Promotion,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,126
3,31,THM-324 - Hospitality Supervision,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,127
3,32,THM-331 - Statistics for Tourism and Hospitality,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,128
3,33,THM-332 - Hospitality Accounting and Financial Management,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,129
3,34,THM-333 - Catering, Food, and Beverage Management,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,130
3,35,THM-411 - Hotel & Resort Operation and Management,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,131
3,36,THM-412 - Travel Agency and Tour Operations,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,132
3,37,"THM-413 - Events: Meetings, Conventions, adn Exhibitions",Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,133
3,38,THM-414 - Hospitality Management Cost Analysis,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,134
3,39,THM-421 - Research Methods in Tourism and Hospitality,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,135
3,40,THM-422 - Tourism and Hospitality Marketing,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,136
3,41,THM-423 - Ecotourism and Environmental Sustainability,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,137
3,42,THM-424 - Tourism Policy and Planning,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,138
3,43,THM-431 - Development and Management of Visitor Attractions,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,139
3,44,THM-432 - Tourism & Hospitality Industry Internship,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,140
3,45,THM-433 - Senior Research Project,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,141
4,1,ACCT-300 - Cost Accounting I,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,10
4,2,ACCT-310 - Accounting Principles I,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,11
4,3,ACCT-312 - Accounting Principles II,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,12
4,4,ACCT-313 - Accounting Principles III,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,13
4,6,ANTH-102 - Cultural Anthropology,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,15
4,7,ARIL-210 - Academic Research: Information Literacy,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,16
4,9,COMP-210 - Introduction to Computers,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,285
4,10,ECON-101 - Introduction to Economics and Entrepreneurship,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,26
4,11,ECON-211 - Microeconomic Principles,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,27
4,13,ECON-425 - Principles of Public Finance,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,32
4,14,ECON-449 - International Economics and Finance,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,33
4,15,ECON-456 - Economic Analysis of Public Policy,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,35
4,16,ENGL-110 - College English I: Reading & Composition,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,46
4,17,ENGL-120 - College English II: Reading & Composition,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,47
4,18,ENGL-210 - Fundamentals of Communication,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,53
4,19,ENGL-311 - Technical Writing for Business,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,58
4,20,FIN-299 - Financial Management I,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,62
4,22,FIN-351 - Budget Technique and Procedures,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,64
4,23,FIN-360 - Financial Institutions,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,65
4,24,FIN-375 - Fiscal Legislation and Taxation,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,66
